Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,0.557485,0.585312,0.556925,0.585303,0.585303,156591911
2022-01-02,0.585204,0.588394,0.574568,0.587698,0.587698,177501913
2022-01-03,0.587693,0.587693,0.559125,0.567292,0.567292,186991726
2022-01-04,0.567388,0.574649,0.547954,0.551803,0.551803,174104858
2022-01-05,0.551830,0.558317,0.482600,0.504330,0.504330,264396112
2022-01-06,0.504252,0.514387,0.485721,0.503940,0.503940,242480708
2022-01-07,0.503884,0.504058,0.462252,0.463399,0.463399,247063438
2022-01-08,0.463425,0.482632,0.442302,0.453911,0.453911,188679085
2022-01-09,0.453940,0.476061,0.448990,0.461440,0.461440,138950271
2022-01-10,0.461436,0.471233,0.430193,0.444853,0.444853,181680632
2022-01-11,0.444823,0.464456,0.439598,0.458838,0.458838,144755851
2022-01-12,0.458830,0.493290,0.458618,0.486546,0.486546,178944129
2022-01-13,0.486519,0.491958,0.456009,0.456061,0.456061,150766601
2022-01-14,0.456170,0.467545,0.447214,0.456634,0.456634,132753870
2022-01-15,0.456681,0.473361,0.456315,0.467501,0.467501,120922480
2022-01-16,0.467495,0.472171,0.460590,0.463847,0.463847,97833541
2022-01-17,0.463858,0.464274,0.437834,0.444701,0.444701,127634604
2022-01-18,0.444716,0.451370,0.434663,0.444903,0.444903,157501375
2022-01-19,0.444839,0.448350,0.431348,0.432722,0.432722,123392274
2022-01-20,0.432748,0.474037,0.427424,0.435165,0.435165,174115451
2022-01-21,0.435304,0.438487,0.354787,0.363322,0.363322,248283816
2022-01-22,0.363432,0.370627,0.328013,0.337132,0.337132,229485945
2022-01-23,0.337218,0.381170,0.336623,0.377897,0.377897,177485440
2022-01-24,0.377915,0.378193,0.330033,0.374401,0.374401,218826166
2022-01-25,0.374375,0.397767,0.366205,0.391779,0.391779,162441406
2022-01-26,0.391729,0.428026,0.388030,0.399293,0.399293,207003433
2022-01-27,0.399151,0.409405,0.381329,0.400320,0.400320,145002936
2022-01-28,0.400266,0.422924,0.390169,0.421202,0.421202,133891762
2022-01-29,0.421210,0.440646,0.416678,0.431967,0.431967,127239735
2022-01-30,0.432049,0.439917,0.418135,0.424108,0.424108,106907594
2022-01-31,0.424114,0.430973,0.402962,0.429029,0.429029,126731864
2022-02-01,0.428939,0.437703,0.423944,0.437079,0.437079,118971896
2022-02-02,0.437095,0.437143,0.399964,0.402913,0.402913,105887422
2022-02-03,0.402878,0.406304,0.392383,0.401893,0.401893,96901877
2022-02-04,0.401939,0.436273,0.401003,0.436212,0.436212,127822374
2022-02-05,0.436192,0.459919,0.428807,0.448579,0.448579,147692054
2022-02-06,0.448392,0.461613,0.444972,0.461613,0.461613,110825545
2022-02-07,0.461646,0.503172,0.456542,0.495076,0.495076,210209362
2022-02-08,0.495066,0.516706,0.476139,0.487396,0.487396,240196690
2022-02-09,0.487358,0.518769,0.478143,0.514562,0.514562,158048153
2022-02-10,0.514556,0.541204,0.500173,0.508958,0.508958,269096210
2022-02-11,0.508887,0.523349,0.470858,0.479723,0.479723,202827818
2022-02-12,0.479731,0.495961,0.475944,0.486024,0.486024,161447995
2022-02-13,0.485352,0.506262,0.484268,0.506262,0.506262,171720144
